;food1;food2;amount
2555;peach and blackberry tart with oatmeal-cookie crust;bouillabaise;0.209897
2556;rum caramel cake;pesto torta (layered spread);0.209915
2557;australian bbq meatballs;16-minute greek feast to go;0.209916
2558;potato latkes i;moroccan chicken stew;0.209916
2559;ham braised with maple raisin sauce;ricotta gnudi with wild mushroom and truffle sauce;0.209916
2560;peruvian beef noodle soup (sopa criolla);veal spiedini - stuffed, skewered, and grilled;0.209921
2561;teriyaki chicken wings;bren s italian meatballs;0.209927
2562;roasted eggplant spread;coconut milk and rose custard;0.209927
2563;tropical quinoa salsa salad;sue s killer martini;0.209935
2564;turkey shawarma with crunchy vegetables;miso-glazed broiled halibut;0.209936
2565;turkey shawarma with crunchy vegetables;stuffed bacon cheeseburgers;0.209942
2566;saltado de vainitas (peruvian green beans with chicken);traditional sauerkraut with caraway;0.209945
2567;campechana extra (mexican seafood cocktail);black bean cumin dip;0.209947
2568;saltado de vainitas (peruvian green beans with chicken);black forest cake;0.209949
2569;indonesian satay;chicken wings with black-bean sauce;0.209957
2570;african chicken in spicy red sauce;pork-belly buns;0.20996
2571;quick fish tacos;stilton walnut tarts;0.20996
2572;turkey shawarma with crunchy vegetables;lemon custard pies;0.209966
2573;authentic puerto rican sofrito;cajun red beans;0.209972
2574;norwegian christmas cabbage;noodle pancakes with caraway;0.209976
2575;healthy turkey tex mex chili;ployes;0.209985
2576;thai-style crab salad in papaya;broiled steak with horseradish cream;0.209991
2577;moroccan chicken stew;braised halibut fillets in coconut and lemongrass with smoked eggplant and tomato ginger chutney;0.209991
2578;cajun prime rib roast;mal s samosa quesadillas with curried cabbage and chickpeas;0.209994
2579;moroccan chicken stew;seared ahi with brown rice and pineapple-ginger broth;0.209994
2580;braised meat with butternut squash;ham hocks with navy beans;0.209995
2581;savory goat cheese and tomato bread pudding;beer battered onion rings;0.209996
2582;sweet lassi;bouillabaise;0.210004
2583;roasted beet borscht;baccelli e pecorino: fava beans and pecorino;0.210007
2584;asian crab and cuke salad;passover chocolate walnut cookies;0.210008
2585;philadelphia style butter cake;classic tiramisu with chocolate;0.210014
2586;fish;creamy parmesan polenta;0.210014
2587;crostini with white beans and basil-marinated shrimp;the big apple pie;0.210015
2588;spinach-artichoke ravioli-lasagna;perfect baked poutine;0.210033
2589;apple and quince crisp with rum raisins;cheesy italian bread wedges;0.21004
2590;tomato pepper sauce;chocolate filled crepes covered with strawberry sauce;0.210044
2591;cheesy italian bread wedges;pan-fried chicken with spinach and pine nuts;0.210046
2592;tomatillo salsa verde;ployes;0.210047
2593;hanoi turmeric grilled fish with dill and onion;vanilla panna cotta with pear jam;0.210052
2594;oranges simmered in red wine;ricotta gnudi with wild mushroom and truffle sauce;0.210066
2595;escarole siciliano;easy chicken enchiladas;0.210071
2596;geoduck papaya ceviche;melon and papaya balls in honey and ginger dressing;0.210073
2597;beef and horseradish sauce sandwich;spicy sausage linguine;0.210077
2598;miso soup with carrots and tofu;korean chicken wings;0.210079
2599;creamy potato salad;classic tiramisu with chocolate;0.210081
2600;spicy melon salad with mint and ricotta salata;round 2 recipe - web - cinnamon roll french toast;0.210089
2601;shrimp cognac and baked cheese grits;chopped vegetable salad with feta and olives;0.210093
2602;freak n good ribs;prune, orange, fennel, and red onion salad with mixed greens;0.210096
2603;spicy sausage linguine;shahi tukdi;0.210099
2604;freak n good ribs;smoked turkey, brie, and apricot quesadilla;0.210099
2605;creamy parmesan polenta;tofu and peanut stir-fry;0.210109
2606;pierogi;16-minute greek feast to go;0.21011
2607;easiest layer dip;chocolate filled crepes covered with strawberry sauce;0.21011
2608;16-minute greek feast to go;vermicelli with sauce alla sofia;0.210111
2609;danish pastry braid;steamed snapper with ginger, lime, and cilantro;0.210124
2610;black bean cumin dip;champagne sabayon on top of milk chocolate sauce and fresh berries;0.210126
2611;seafood risotto;16-minute greek feast to go;0.210128
2612;crostini with white beans and basil-marinated shrimp;paneer matar masala;0.210128
2613;flatbread with dukka;candied root vegetables;0.21013
2614;classic tiramisu with chocolate;grilled sea scallops on tortilla chips with avocado puree and jalapeno pesto;0.210132
2615;shrimp cognac and baked cheese grits;cranberry nut bread i;0.210146
2616;ricotta gnudi with wild mushroom and truffle sauce;the big apple pie;0.210148
2617;lemony sole with green olives, bacon, and capers;spicy tomato relish;0.210158
2618;classic tiramisu with chocolate;tomato butter dill sauce;0.210162
2619;hanoi turmeric grilled fish with dill and onion;tomato sauce for spaghetti and meatballs;0.210164
2620;candied root vegetables;deep fried camembert with raspberry sauce;0.210164
2621;diane anderson s cabbage with sausage;campechana extra (mexican seafood cocktail);0.210166
2622;profiterole dough;creamy parmesan polenta;0.210173
2623;raspberry gratins;creamy parmesan polenta;0.210174
2624;freak n good ribs;bresaola-wrapped persimmons with arugula;0.210176
2625;my best salsa;easy chicken enchiladas;0.21018
2626;croque monsieur sandwiches with pears;16-minute greek feast to go;0.210182
2627;easy nacho dip;quick chicken fajitas;0.210183
2628;philadelphia style butter cake;laura s maryland crab cakes;0.21019
2629;doodhiya kheech;moroccan chicken stew;0.210196
2630;chana ghassi;amazing sun-dried tomato cream sauce;0.210198
2631;roasted beet borscht;moong soup;0.210205
2632;best teriyaki sauce;marbleized brownies;0.210208
2633;hare mutter ki curry mein aloo;16-minute greek feast to go;0.210209
2634;smashed peas and ricotta cheese;chopped vegetable salad with feta and olives;0.210212
2635;fried pickles;16-minute greek feast to go;0.210222
2636;roasted pumpkin soup;chalau;0.210225
2637;rajma masaledar;roasted red pepper dip i;0.210259
2638;south african instant milk tart;thanksgiving turkey with italian meat stuffing;0.210263
2639;finikia;egyptian meatballs;0.210267
2640;doodhiya kheech;laura s maryland crab cakes;0.210267
2641;moroccan chicken stew;ridge gourd chutney;0.210269
2642;tomatillo sauce;15-minute chicken scaloppini with artichokes;0.21027
2643;laura s maryland crab cakes;sweet corn pudding;0.210271
2644;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;simple chicken curry;0.210281
2645;candied root vegetables;tomato pesto;0.21029
2646;delicious spinach manicotti;sesame encrusted seared tuna;0.210296
2647;shrimp noodles, smoked yogurt, nori powder;spicy sausage linguine;0.210304
2648;beef stew with mushrooms, shallots and potatoes;bacon-wilted greens with warm pecan-crusted goat cheese;0.210308
2649;ninfa s green tomato salsa;mutter dhingri;0.210311
2650;basic buttermilk corn bread;smashed peas and ricotta cheese;0.21032
2651;cajun red beans;chocolate raspberry icebox cake;0.210324
2652;ricotta gnudi with wild mushroom and truffle sauce;grilled portobello mushrooms;0.210337
2653;chocolate mousse: mousse au chocolat;becky s slow cooker gluten-free thai chicken curry;0.210338
2654;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;delicious spinach manicotti;0.210344
2655;chicken escalopes with watercress-green onion mayonnaise;champagne sabayon on top of milk chocolate sauce and fresh berries;0.210354
2656;crispy chicken under a brick;spicy tomato relish;0.210356
2657;ricotta gnudi with wild mushroom and truffle sauce;alsatian chocolate balls;0.210362
2658;mini italian mud pies;cajun red beans;0.210363
2659;philadelphia style butter cake;creamy parmesan polenta;0.210365
2660;rum caramel cake;salsa verde cocida;0.210369
2661;mushroom, radicchio, and smoked mozzarella lasagne;quick chicken fajitas;0.210374
2662;barbeque bacon quesadillas;quick chicken fajitas;0.210378
2663;chocolate bread pudding with walnuts and chocolate chips;honeyed red-onion confit;0.210383
2664;crostini with white beans and basil-marinated shrimp;wild rice stuffing with hazelnuts and dried cranberries;0.210384
2665;hanoi turmeric grilled fish with dill and onion;lamb tagine with prunes, apricots, and vegetables;0.210391
2666;quick pickles;16-minute greek feast to go;0.210393
2667;southwest cheese grits;tomato zucchini soup;0.210403
2668;wife pastry (lo po bang);cajun red beans;0.210406
2669;southern italian thanksgiving stuffing;danish pastry braid;0.210408
2670;curried cottage fries;veal spiedini - stuffed, skewered, and grilled;0.21041
2671;toad in the hole iii;chocolate filled crepes covered with strawberry sauce;0.210414
2672;rum caramel cake;moroccan-style cornish game hens;0.210417
2673;lemon-roasted green beans with marcona almonds;freak n good ribs;0.210418
2674;braised salmon;laura s maryland crab cakes;0.210424
2675;african chicken in spicy red sauce;curried trout with chutney and cucumber-melon raita;0.210426
2676;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;black bean cumin dip;0.21043
2677;bubble pizza;stilton walnut tarts;0.210434
2678;teriyaki chicken wings;meatballs with angel hair pasta;0.210437
2679;beer battered onion rings;broiled chicken with roasted garlic sauce;0.210445
2680;davero meyer lemon olive oil cake;rum caramel cake;0.210449
2681;ricotta gnudi with wild mushroom and truffle sauce;wild rice stuffing with hazelnuts and dried cranberries;0.210449
2682;tomatillo salsa verde;classic tiramisu with chocolate;0.210455
2683;hanoi turmeric grilled fish with dill and onion;pork, spinach, and ricotta manicotti;0.210457
2684;rum caramel cake;chalau;0.210461
2685;ricotta gnudi with wild mushroom and truffle sauce;shellfish watermelon ceviche;0.210462
2686;spicy noodles - malay style;16-minute greek feast to go;0.210466
2687;bouillabaise;easy bhatura;0.210466
2688;beef kelaguen;turkey shawarma with crunchy vegetables;0.210493
2689;freak n good ribs;strawberry cheesecake quesadillas;0.210498
2690;roasted pumpkin soup;caramelized banana split;0.210506
2691;sesame encrusted seared tuna;delicious dal makhani;0.210512
2692;chocolate raspberry icebox cake;sue s killer martini;0.210525
2693;spaghetti olio;corn and bean medley;0.210526
2694;roasted pumpkin soup;mexican style shredded pork;0.210526
2695;lamb stew with green beans;smashed peas and ricotta cheese;0.210531
2696;grilled hawaiian chicken and pineapple sandwiches;croissant french toast with soft caramel apples;0.210536
2697;onion, tomato, and bell pepper citrus salsa;chocolate raspberry icebox cake;0.210537
2698;hilda s favas;ricotta gnudi with wild mushroom and truffle sauce;0.210542
2699;spinach-artichoke ravioli-lasagna;tomato butter dill sauce;0.210549
2700;crostini with white beans and basil-marinated shrimp;ragu alla mugellana;0.210552
2701;risotto milanese;bouillabaise;0.210556
2702;aida s scalloped zucchini;noodle pancakes with caraway;0.210557
2703;mexican style meatballs;laura s maryland crab cakes;0.210559
2704;easy tacos;easy chicken enchiladas;0.210567
2705;freak n good ribs;skillet custard with berry sauce;0.210573
2706;tagliatelle with chestnuts, pancetta, and sage;Sorvete Chambinho Nestlé Pote 1l;0.210574
2707;bouillabaise;chef john s lasagna;0.21058
2708;spiked mocha egg cream;candied root vegetables;0.21058
2709;penne with broccoli rabe, tomatoes, and parmesan;sue s killer martini;0.210592
2710;central american tacos;bouillabaise;0.210601
2711;sue s killer martini;goat cheese and arugula over penne;0.210603
2712;butter garlic naan;sue s killer martini;0.210603
2713;lilva rice;brussels sprouts with white beans and pecorino;0.210606
2714;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;grilled mangoes with herbs;0.210606
2715;chicken wings with black-bean sauce;tunisian-style catfish nuggets;0.210612
2716;beef liver bourguignonne;16-minute greek feast to go;0.210613
2717;chicken with rice - pilaffe;bouillabaise;0.210613
2718;moroccan chicken stew;shellfish watermelon ceviche;0.210617
2719;freak n good ribs;baked oatmeal ii;0.210619
2720;creamy parmesan polenta;elijah s phulourie;0.210621
2721;frogs legs;bacon-wilted greens with warm pecan-crusted goat cheese;0.210622
2722;slow-cooked, texas-style beef brisket;easy chicken enchiladas;0.210623
2723;pork-oulet;sue s killer martini;0.210623
2724;saltado de vainitas (peruvian green beans with chicken);meatballs a la pizzaiola;0.210624
2725;roasted peppers and potatoes with bagna cauda;classic tiramisu with chocolate;0.210626
2726;southern italian thanksgiving stuffing;simple chicken curry;0.210629
2727;stilton walnut tarts;ukrainian filled halushky dumplings;0.210638
2728;hanoi turmeric grilled fish with dill and onion;crab, mango, and mint nori rolls;0.210638
2729;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;homemade tortelli stuffed with stewed oxtail;0.210638
2730;rum caramel cake;pan-fried flounder;0.210643
2731;spicy sausage linguine;fried rice;0.210644
2732;rum caramel cake;lasagne rolls with roasted tomato and eggplant;0.21065
2733;chocolate bread pudding with walnuts and chocolate chips;red-bean soup with gremolata;0.210655
2734;campechana extra (mexican seafood cocktail);artichokes with butter and parmigiano cheese;0.210667
2735;roasted miso salmon with lemon and cilantro with rosemary roasted yukons;chicken wings with black-bean sauce;0.210668
2736;saltado de vainitas (peruvian green beans with chicken);chestnut parfait;0.210675
2737;anchovies in tomato sauce with pasta;guinness® dogs;0.210684
2738;turkey shawarma with crunchy vegetables;classic saltimbocca;0.210689
2739;geoduck papaya ceviche;blueberry delight;0.210692
2740;spicy sausage linguine;savory goat cheese and tomato bread pudding;0.210697
2741;brie and asparagus in phyllo;passover chocolate walnut cookies;0.210704
2742;soya vadi kababs;becky s slow cooker gluten-free thai chicken curry;0.210706
2743;mushroom turnovers;sue s killer martini;0.210712
2744;anchovies in tomato sauce with pasta;caramelized flan from pinhao;0.210715
2745;lotus rice with sausage;chocolate filled crepes covered with strawberry sauce;0.210722
2746;ricotta gnudi with wild mushroom and truffle sauce;lemon parsley bruschetta;0.210725
2747;braised salmon;broiled steak with horseradish cream;0.210725
2748;caramelized flan from pinhao;feta-and-cauliflower frittata;0.210725
2749;smothered collard greens and cabbage;rajma masaledar;0.210727
2750;spinach-artichoke ravioli-lasagna;ragu alla mugellana;0.210739
2751;involtini with castagne e prosciutto: beef and prosciutto rolls with chestnuts;ployes;0.210744
2752;yellow pickled eggs;chocolate filled crepes covered with strawberry sauce;0.210749
2753;spicy sausage linguine;beef and noodles in thai peanut sauce;0.210751
2754;ice-wine sorbet with white peaches;ricotta gnudi with wild mushroom and truffle sauce;0.210752
2755;chicken adobo ii;ployes;0.210756
2756;deli pasta with salami;beer battered onion rings;0.210758
2757;southwest cheese grits;orzo;0.210761
2758;roasted portobello and prosciutto lasagna;candied root vegetables;0.210768
2759;methi mutter pulao;becky s slow cooker gluten-free thai chicken curry;0.210772
2760;quick fish tacos;thanksgiving turkey with italian meat stuffing;0.210773
2761;moroccan chicken stew;easy tacos;0.210773
2762;lamb stew with green beans;ployes;0.210774
2763;quick chicken tikka masala;papaya poached in cinnamon-lime syrup;0.210776
2764;zucchini blossom and fontina panini;ricotta gnudi with wild mushroom and truffle sauce;0.210781
2765;5 spice vegetable fried rice;bouillabaise;0.210781
2766;spicy sausage linguine;"southwest ""chili"" burgers with avocado crema and lime-marinated slaw";0.210789
2767;southwest cheese grits;white kimchi;0.210792
2768;ricotta gnudi with wild mushroom and truffle sauce;baked chicken schnitzel;0.210794
2769;butter chicken;chocolate filled crepes covered with strawberry sauce;0.210796
2770;challah ii;ricotta gnudi with wild mushroom and truffle sauce;0.210796
2771;zucchini slice;passover chocolate walnut cookies;0.210802
2772;chicken wings with black-bean sauce;pecan crusted chocolate truffle pie;0.210805
2773;chocolate bread pudding with walnuts and chocolate chips;gingerbread boys;0.210806
2774;dhokla simla mirch;tomatillo sauce;0.210811
2775;chocolate bread pudding with walnuts and chocolate chips;creamy potato salad;0.210815
2776;hanoi turmeric grilled fish with dill and onion;taco soup vii;0.210819
2777;grilled-chicken caesar salad;bouillabaise;0.21084
2778;spiced roasted turkey;marbleized brownies;0.210843
2779;black treacle scones;savory polenta;0.210855
2780;rum caramel cake;cabbage and potato bake;0.210857
2781;geoduck papaya ceviche;goat cheese and black pepper biscuits with smoked salmon and dill;0.210864
2782;slow cooker lengua (beef tongue);korean chicken wings;0.210865
2783;geoduck papaya ceviche;fragola pazzo (crazy strawberry);0.21087
2784;profiterole dough;broiled steak with horseradish cream;0.210876
2785;turkish coffee pudding;cheesy italian pull apart bread;0.210879
2786;khasta paratha;easy chicken enchiladas;0.21088
2787;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;ham hocks with navy beans;0.210895
2788;laura s maryland crab cakes;bavarian style meatballs;0.210896
2789;chocolate-whiskey truffles souffles with caramel sauce;sarah s slow cooker chicken cacciatore;0.210899
2790;freak n good ribs;prosecco and fruit gelatin;0.210909
2791;ployes;the ultimate spice-rubbed rib steak;0.210911
2792;sugarcane shrimp;papaya poached in cinnamon-lime syrup;0.210912
2793;picante chicken stew;spicy sausage linguine;0.210913
2794;grilled hawaiian chicken and pineapple sandwiches;fall figs stuffed with stilton cheese, wrapped in prosciutto and chateau elan port wine syrup;0.210916
2795;chocolate filled crepes covered with strawberry sauce;mushroom turnovers;0.21092
2796;candied root vegetables;walnut-raisin cookies;0.21092
2797;chicken wings with black-bean sauce;asian crab and cuke salad;0.210922
2798;green tea margarita;savory polenta;0.210924
2799;moroccan chicken stew;brooklyn girl s penne arrabiata;0.210926
2800;beef steaks with peppercorn sauce;bouillabaise;0.210927
2801;spicy sausage linguine;romano risotto with radishes;0.21094
2802;chaas;bouillabaise;0.210941
2803;almond, chocolate, and pistachio spumoni;duck legs confit cooked in a pouch (“confit” de canard en sous vide);0.210941
2804;onion, tomato, and bell pepper citrus salsa;spinach, potatoes, and bacon au gratin;0.210944
2805;roasted pumpkin soup;dominican chicken lollipops: chicharron de pollo;0.210954
2806;anchovies in tomato sauce with pasta;tennessee stack cake;0.210957
2807;geoduck papaya ceviche;perfect baked poutine;0.21096
2808;shrimp cognac and baked cheese grits;spaghetti olio;0.210961
2809;turkey shawarma with crunchy vegetables;fabulous fried cabbage;0.210961
2810;thanksgiving pioneer-style herb roasted turkey;bacon-wilted greens with warm pecan-crusted goat cheese;0.210963
2811;freak n good ribs;romano risotto with radishes;0.210964
2812;stilton walnut tarts;lamb pitas with tomato, scallions and mint yogurt dressing;0.210965
2813;stuffed southwestern sweet potatoes;papaya poached in cinnamon-lime syrup;0.210974
2814;brined pork and sauerkraut;miss dixie s remoulade;0.210978
2815;hollywood thai beef salad;bacon-wilted greens with warm pecan-crusted goat cheese;0.210983
2816;wolfgang s salad tasting plate: black and green olive tapenade;bouillabaise;0.210984
2817;creamy carolina potato salad;southwest cheese grits;0.210986
2818;beet soup with cilantro pesto;bouillabaise;0.210986
2819;freak n good ribs;oxtails with gravy;0.21099
2820;veal spiedini - stuffed, skewered, and grilled;salsa borracha (drunk salsa);0.210994
2821;roasted pumpkin soup;delicious vegan hot chocolate;0.211008
2822;spanish chickpeas;roasted pumpkin soup;0.211014
2823;classic tiramisu with chocolate;chilled cream of zucchini soup with mussels and fresh mint;0.211016
2824;finikia;classic saltimbocca;0.211043
2825;new york steaks with a vanilla and cherry sauce;chicken gumbo soup;0.211044
2826;chipotle aïoli;16-minute greek feast to go;0.211046
2827;tilapia scaloppine;16-minute greek feast to go;0.211049
2828;ricotta gnudi with wild mushroom and truffle sauce;minty greek salad;0.211051
2829;spinach-artichoke ravioli-lasagna;sopranos style tiramisu;0.211067
2830;apple stuffed chicken breast;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;0.21107
2831;paneer matar masala;spinach-artichoke ravioli-lasagna;0.21107
2832;oven roasted stuffed chicken breasts;bouillabaise;0.211073
2833;onion, tomato, and bell pepper citrus salsa;lamb for lovers;0.211078
2834;wormy ice cubes - for witch s brew;easy chicken enchiladas;0.211079
2835;yellow pickled eggs;sue s killer martini;0.211088
2836;chicken wings with black-bean sauce;castagnaccio: chestnut flour cake;0.21109
2837;crostini with white beans and basil-marinated shrimp;orechiette with sausage, beans, and mascarpone;0.211091
2838;creamy parmesan polenta;lemon parsley bruschetta;0.211099
2839;round 2 recipe - web - cinnamon roll french toast;fried cheese: saganaki;0.211109
2840;pork spareribs with mashed potatoes;16-minute greek feast to go;0.21111
2841;broiled steak with horseradish cream;the big apple pie;0.211112
2842;man of the moment;stilton walnut tarts;0.211113
2843;spicy sausage linguine;bastille day pork chops;0.211118
2844;stir fried chicken;marbleized brownies;0.211119
2845;couscous with raisins and almonds;beer battered onion rings;0.21112
2846;pork chops scarpariello;easy chicken enchiladas;0.21112
2847;spicy sausage linguine;crab and avocado duet;0.211123
2848;moroccan chicken stew;slow lamb with baked provencal tomatoes;0.211128
2849;chile chicken with jasmine rice;candied root vegetables;0.211128
2850;orange rice pudding;passover chocolate walnut cookies;0.211128
2851;almond, chocolate, and pistachio spumoni;sesame encrusted seared tuna;0.211135
2852;laura s maryland crab cakes;wild mushroom and gruyère tart with fresh herb salad;0.211137
2853;dazzlin  chicken -n- dumplin s;rajma masaledar;0.211143
2854;grandma s onion rings (southern style);rajma masaledar;0.211143
2855;braised meat with butternut squash;fried green tomatoes with shrimp remoulade;0.21115
2856;salmon pie;smashed peas and ricotta cheese;0.211157
2857;coconut custard pie;rajma masaledar;0.211166
2858;batman s best caesar dressing;laura s maryland crab cakes;0.211168
2859;honey soy dipping sauce (for dumplings or potstickers);marbleized brownies;0.211169
2860;le choucroute du baron;bacon-wilted greens with warm pecan-crusted goat cheese;0.21118
2861;candied root vegetables;chicken posole verde soup;0.21118
2862;spinach-artichoke ravioli-lasagna;white kimchi;0.211189
2863;queen s peg;chicken wings with black-bean sauce;0.211194
2864;spicy mexican torte;beer and bourbon pulled pork sandwiches;0.211199
2865;seared ahi with brown rice and pineapple-ginger broth;ricotta gnudi with wild mushroom and truffle sauce;0.211201
2866;chicken meatball dim sum;sue s killer martini;0.211206
2867;mexican style meatballs;creamy parmesan polenta;0.211207
2868;chilled cream of zucchini soup with mussels and fresh mint;thanksgiving turkey with italian meat stuffing;0.211209
2869;turkish coffee pudding;tomatillo sauce;0.21121
2870;danish pastry braid;almond, chocolate, and pistachio spumoni;0.21121
2871;roasted pumpkin soup;tuna pasta salad;0.211214
2872;pacific cider;"""mock"" fettuccini primavera";0.211215
2873;geoduck papaya ceviche;ginger pumpkin tart;0.211229
2874;ninfa s green tomato salsa;crostini with white beans and basil-marinated shrimp;0.211231
2875;spicy crab boil bbq chicken with cajun barbeque sauce;turkey shawarma with crunchy vegetables;0.211233
2876;spicy sausage linguine;buttermilk cornbread with monterey jack cheese;0.211235
2877;braised salmon;moroccan chicken stew;0.211237
2878;aunt barb s spaghetti pie;ployes;0.211237
2879;almond puff pancakes;tender mangoes in brine;0.211238
2880;wife pastry (lo po bang);stilton walnut tarts;0.211239
2881;jain potato stew;gobi pakora;0.211241
2882;16-minute greek feast to go;danny chan s steamed salmon with lemon;0.211242
2883;thai hot and sour soup with shrimp toast;papaya poached in cinnamon-lime syrup;0.211244
2884;miso soup with carrots and tofu;cheesy italian bread wedges;0.211244
2885;campechana extra (mexican seafood cocktail);curried chicken salad sandwich;0.211247
2886;spicy mexican shrimp cocktail;quick chicken fajitas;0.211247
2887;grilled tri-tip with oregon herb rub;quick chicken fajitas;0.211253
2888;spiked mocha egg cream;creamy parmesan polenta;0.211253
2889;round 2 recipe - web - cinnamon roll french toast;apple and quince crisp with rum raisins;0.211268
2890;southern italian thanksgiving stuffing;baby tomato and fresh herb tabbouleh;0.21127
2891;ricotta gnudi with wild mushroom and truffle sauce;cabbage tamales;0.211273
2892;roasted pumpkin soup;maple sugar ragamuffins;0.211277
2893;finikia;caramel apples and pears;0.21128
2894;ricotta gnudi with wild mushroom and truffle sauce;cabbage and potato bake;0.211284
2895;sweet potato spread;creamy parmesan polenta;0.211286
2896;chicken athena;quick chicken fajitas;0.211286
2897;rum caramel cake;cilantro-mint raita;0.211287
2898;tropical quinoa salsa salad;thanksgiving turkey with italian meat stuffing;0.211298
2899;indian peanut stew;cheesy italian bread wedges;0.211307
2900;broiled steak with horseradish cream;tofu and peanut stir-fry;0.211308
2901;grandmother s tart;loaded omelets;0.211316
2902;16-minute greek feast to go;greek salad sandwich;0.211323
2903;moroccan chicken stew;tomato zucchini soup;0.211323
2904;escabeche;classic tiramisu with chocolate;0.211326
2905;red bean dip with cumin and cilantro;bacon-wilted greens with warm pecan-crusted goat cheese;0.211338
2906;nana s yorkshire pudding;pfeffernusse;0.211338
2907;laura s maryland crab cakes;cantaloupe gelato;0.21134
2908;spinach-artichoke ravioli-lasagna;mushroom, radicchio, and smoked mozzarella lasagne;0.211341
2909;geoduck papaya ceviche;bob s awesome lasagna;0.211341
2910;thanksgiving turkey with italian meat stuffing;triple orange angel food cake;0.211346
2911;moroccan chicken stew;cabbage tamales;0.211346
2912;ham, tomato and swiss quiche;16-minute greek feast to go;0.211349
2913;zucchini slice;easy chicken enchiladas;0.211356
2914;candied root vegetables;grilled chili fries;0.211358
2915;freak n good ribs;hummus tehina;0.211375
2916;red-bean soup with gremolata;smashed peas and ricotta cheese;0.211376
2917;mock gulab jamun;candied root vegetables;0.211377
2918;ricotta gnudi with wild mushroom and truffle sauce;zucchini pasta bake;0.211377
2919;ginger-lemongrass portobello mushroom caps;mutter tamatar;0.21138
2920;doodhiya kheech;passover chocolate walnut cookies;0.21139
2921;african chicken in spicy red sauce;skyy vanilla white russian;0.211391
2922;thank goodness it s over bruschetta;tomatillo sauce;0.211402
2923;spinach appam;feta-and-cauliflower frittata;0.211406
2924;tomato zucchini soup;ployes;0.211406
2925;spicy tomato relish;the ultimate spice-rubbed rib steak;0.211412
2926;punch ice block;chicken escalopes with watercress-green onion mayonnaise;0.211414
2927;Sorvete Chambinho Nestlé Pote 1l;feta-and-cauliflower frittata;0.211421
2928;chocolate chip pie iv;southwest cheese grits;0.211428
2929;orange juice tzimmes;turkey shawarma with crunchy vegetables;0.211437
2930;ciabatta stuffing with chestnuts, mushrooms and pancetta;sue s killer martini;0.211442
2931;freak n good ribs;boiled coffee;0.211452
2932;veal and lemon saltimbocca;bacon-wilted greens with warm pecan-crusted goat cheese;0.211453
2933;puerto rican cabbage, avocado, and carrot salad;reuben sandwich;0.211453
2934;the peacemaker: golden fried oyster and shrimp po-boy with hot sauce-infused mayonnaise, lettuce, and tomato;shrimp cognac and baked cheese grits;0.211454
2935;chicken wings with black-bean sauce;stella s stellar apple spice cake;0.211458
2936;fresh spring rolls with thai dipping sauce;saltado de vainitas (peruvian green beans with chicken);0.211463
2937;wife pastry (lo po bang);thanksgiving turkey with italian meat stuffing;0.211468
2938;roasted eggplant spread;steamed snapper with ginger, lime, and cilantro;0.211476
2939;wife pastry (lo po bang);spinach-artichoke ravioli-lasagna;0.211479
2940;southern italian thanksgiving stuffing;soya vadi kababs;0.211489
2941;finikia;spinach raita;0.211491
2942;moroccan chicken stew;ginger pumpkin tart;0.211496
2943;corn and bean medley;steamed and curry flashed oysters;0.211499
2944;asparagus soup with lemon crème fraîche;broiled steak with horseradish cream;0.211501
2945;bal s lentil cookies;nana s yorkshire pudding;0.211501
2946;kapusta ii;bouillabaise;0.211504
2947;savory polenta;curried trout with chutney and cucumber-melon raita;0.211508
2948;aida s scalloped zucchini;reuben sandwich;0.211515
2949;turkey shawarma with crunchy vegetables;peanut;0.211515
2950;okura and sakura shrimp japanese-style spaghetti;bacon-wilted greens with warm pecan-crusted goat cheese;0.211529
2951;sun-dried tomato and arugula pizza;creamy parmesan polenta;0.211533
2952;swedish saffron buns;freak n good ribs;0.211533
2953;chicken rollatina;spicy sausage linguine;0.211538
2954;baked pears with sauternes custard sauce;geoduck papaya ceviche;0.211538
2955;papaya poached in cinnamon-lime syrup;irish lamb stew with herbed goat cheese dumplings;0.21156
2956;papaya poached in cinnamon-lime syrup;easy thai peanut sauce;0.21156
2957;tilapia scaloppine;spicy sausage linguine;0.211561
2958;african chicken in spicy red sauce;hawaiian roasted pork;0.211563
2959;lamb for lovers;shrimp cognac and baked cheese grits;0.211564
2960;thanksgiving turkey with italian meat stuffing;brie and asparagus in phyllo;0.211571
2961;freak n good ribs;wild blueberry pie with almond crumble topping;0.21158
2962;knife-and-fork chili turkey burgers;turkey shawarma with crunchy vegetables;0.211582
2963;chocolate bread pudding with walnuts and chocolate chips;toad in the hole iii;0.211586
2964;beefy broccoli & cheddar burritos;veal spiedini - stuffed, skewered, and grilled;0.211589
2965;new york steaks with a vanilla and cherry sauce;fried green tomatoes with shrimp remoulade;0.211589
